purchase_date,usd_brl_rate,selic_rate,selic_target,ipca_inflation,usd_brl_change,usd_brl_volatility,usd_brl_30day_avg,usd_brl_high,usd_brl_low,selic_changed,high_interest_period
2016-09-04,3.2721,0.052531,14.25,0.26,,,,0,0,1,1
2016-09-05,3.2721,0.052531,14.25,0.26,0.0,,,0,0,0,1
2016-09-06,3.2452,0.052531,14.25,0.26,-0.00822102013997128,,,0,0,0,1
2016-09-07,3.2193,0.052531,14.25,0.26,-0.00798101811906815,,,0,0,0,1
2016-09-08,3.1934,0.052531,14.25,0.26,-0.00804522722330947,,,0,0,0,1
2016-09-09,3.2638,0.052531,14.25,0.26,0.022045468779357424,,,0,0,0,1
2016-09-10,3.271,0.052531,14.25,0.26,0.0022060175255838033,0.030964588069046072,,0,0,0,1
2016-09-11,3.2782,0.052531,14.25,0.26,0.00220116172424345,0.031825513873829744,,0,0,0,1
2016-09-12,3.2854,0.052531,14.25,0.26,0.0021963272527607547,0.03377193114604689,,0,0,0,1
2016-09-13,3.2972,0.052531,14.25,0.26,0.0035916478967552568,0.037789271594184666,,0,0,0,1
2016-09-14,3.3262,0.052531,14.25,0.26,0.008795341501880438,0.04086351265697401,,0,0,0,1
2016-09-15,3.3326,0.052531,14.25,0.26,0.0019241176116888692,0.02677009703452893,,0,0,0,1
2016-09-16,3.3004,0.052531,14.25,0.26,-0.009662125667646904,0.023363178192148636,,0,0,0,1
2016-09-17,3.288133333333333,0.052531,14.25,0.26,-0.003716721205510476,0.02072425157091556,,0,0,0,1
2016-09-18,3.2758666666666665,0.052531,14.25,0.26,-0.0037305867564170203,0.021169119967812438,,0,0,0,1
2016-09-19,3.2636,0.052531,14.25,0.26,-0.003744556147991407,0.025062668543021405,,0,0,0,1
2016-09-20,3.254,0.052531,14.25,0.26,-0.002941536953057877,0.03003579170038291,,0,0,0,1
2016-09-21,3.2408,0.052531,14.25,0.26,-0.004056545789797084,0.030942777020420663,,0,0,0,1
2016-09-22,3.2015,0.052531,14.25,0.26,-0.012126635398667096,0.03294592571417721,,0,0,0,1
2016-09-23,3.2242,0.052531,14.25,0.26,0.007090426362642566,0.030072716985307255,,0,0,0,1
2016-09-24,3.2294666666666667,0.052531,14.25,0.26,0.0016334801397761556,0.025397330401727113,,0,0,0,1
2016-09-25,3.2347333333333337,0.052531,14.25,0.26,0.0016308162338467547,0.020333155086393058,,0,0,0,1
2016-09-26,3.24,0.052531,14.25,0.26,0.001628161002452444,0.01648407761492709,,0,0,0,1
2016-09-27,3.2358,0.052531,14.25,0.26,-0.001296296296296462,0.013644955654561327,,0,0,0,1
2016-09-28,3.2476,0.052531,14.25,0.26,0.0036467025156066146,0.014778493239636785,,0,0,0,1
2016-09-29,3.2235,0.052531,14.25,0.26,-0.0074208646385022226,0.00866542420887163,,0,0,0,1
2016-09-30,3.2462,0.052531,14.25,0.26,0.0070420350550643995,0.008671466924601462,,0,0,0,1
2016-10-01,3.2420666666666667,0.052531,14.25,0.26,-0.0012732836341979858,0.008200874259763702,,0,0,0,1
2016-10-02,3.2379333333333333,0.052531,14.25,0.26,-0.0012749069523554368,0.008039805072797574,,0,0,0,1
2016-10-03,3.2338,0.052531,14.25,0.26,-0.0012765344149560098,0.008251833209830974,3.2558700000000003,0,0,0,1
2016-10-04,3.2203,0.052531,14.25,0.26,-0.004174655204403521,0.010697903171895772,3.2541433333333334,0,0,0,1
2016-10-05,3.2359,0.052531,14.25,0.26,0.004844269167468829,0.009403539804068049,3.2529366666666664,0,0,0,1
2016-10-06,3.231,0.052531,14.25,0.26,-0.0015142618745944691,0.008342969032380519,3.252463333333333,0,0,0,1
2016-10-07,3.2134,0.052531,14.25,0.26,-0.0054472299597647655,0.010211729431862205,3.2522666666666664,0,0,0,1
2016-10-08,3.2131,0.052531,14.25,0.26,-9.335905894070073e-05,0.01066325838406041,3.2529233333333334,0,0,0,1
2016-10-09,3.2128,0.052531,14.25,0.26,-9.336777566826271e-05,0.010396153134701522,3.2512233333333334,0,0,0,1
2016-10-10,3.2125,0.052531,14.25,0.26,-9.337649402396675e-05,0.009772556325907164,3.249273333333333,0,0,0,1
2016-10-11,3.2136,0.052531,14.25,0.26,0.00034241245136179543,0.010046226488928054,3.2471200000000002,0,0,0,1
2016-10-12,3.21115,0.052531,14.25,0.26,-0.0007623848643266706,0.006941584490465855,3.244645,0,0,0,1
2016-10-13,3.2087,0.052531,14.25,0.26,-0.0007629665384675244,0.0017324975091570682,3.241695,0,0,0,1
2016-10-14,3.1864,0.052531,14.25,0.26,-0.006949855081497147,0.009805689553480766,3.2370349999999997,0,0,0,1
2016-10-15,3.1896999999999998,0.052531,14.25,0.26,0.0010356515189555715,0.011709037006485585,3.2322716666666667,0,0,0,1
2016-10-16,3.193,0.052531,14.25,0.26,0.0010345800545505934,0.011894781769059047,3.2286916666666667,0,0,0,1
2016-10-17,3.1963,0.052531,14.25,0.26,0.0010335108048855624,0.011094469879402678,3.2256305555555556,0,0,0,1
2016-10-18,3.1874,0.052531,14.25,0.26,-0.002784469542909007,0.010046990783799118,3.2226816666666664,0,0,0,1
2016-10-19,3.18,0.052531,14.25,0.26,-0.0023216414632615257,0.009122290856820004,3.2198949999999997,0,0,0,1
2016-10-20,3.1605,0.05166,14.0,0.26,-0.006132075471698251,0.011876707897243394,3.2167783333333335,0,0,1,1
2016-10-21,3.1593,0.05166,14.0,0.26,-0.00037968675842425803,0.015203007221326082,3.2140616666666664,0,0,0,1
2016-10-22,3.1499,0.05166,14.0,0.26,-0.002975342639192191,0.018452280798506863,3.2123416666666667,0,0,0,1
2016-10-23,3.1405,0.05166,14.0,0.26,-0.0029842217213246203,0.02056056095214729,3.209551666666667,0,0,0,1
2016-10-24,3.1311,0.05166,14.0,0.26,-0.0029931539563763376,0.020210263776237105,3.206272777777778,0,0,0,1
2016-10-25,3.1193,0.05166,14.0,0.26,-0.003768643607677813,0.02030630912983793,3.202425,0,0,0,1
2016-10-26,3.1219,0.05166,14.0,0.26,0.0008335203411022896,0.016957874979191587,3.198488333333333,0,0,0,1
2016-10-27,3.1429,0.05166,14.0,0.26,0.00672667285947659,0.014616754900110366,3.1953916666666666,0,0,0,1
2016-10-28,3.1815,0.05166,14.0,0.26,0.01228165070476317,0.021043718664686253,3.1931883333333335,0,0,0,1
2016-10-29,3.181366666666667,0.05166,14.0,0.26,-4.1908952799984966e-05,0.02602862892681598,3.191783888888889,0,0,0,1
2016-10-30,3.181233333333333,0.05166,14.0,0.26,-4.1910709234094234e-05,0.029094682144695534,3.1896183333333337,0,0,0,1
2016-10-31,3.1811,0.05166,14.0,0.26,-4.191246581508601e-05,0.029436381046263806,3.1875861111111106,0,0,0,1
2016-11-01,3.2053,0.05166,14.0,0.18,0.0076074313916569825,0.02828705838290606,3.186498333333333,0,0,0,1
2016-11-02,3.2181499999999996,0.05166,14.0,0.18,0.0040089851183975345,0.023581670253777283,3.1859766666666665,0,0,0,1
2016-11-03,3.231,0.05166,14.0,0.18,0.003992977331696901,0.021048361107012,3.1863333333333332,0,0,0,1
2016-11-04,3.2449,0.05166,14.0,0.18,0.004302073661405226,0.02622455556944591,3.1866333333333334,0,0,0,1
2016-11-05,3.2307333333333332,0.05166,14.0,0.18,-0.004365825346441032,0.025061052172224464,3.186624444444445,0,0,0,1
2016-11-06,3.2165666666666666,0.05166,14.0,0.18,-0.004384969356802326,0.02073357672240378,3.18673,0,0,0,1
2016-11-07,3.2024,0.05166,14.0,0.18,-0.004404281998404147,0.015196350247564317,3.1863733333333335,0,0,0,1
2016-11-08,3.2024,0.05166,14.0,0.18,0.0,0.015735000836442303,3.1860266666666663,0,0,0,1
2016-11-09,3.2258,0.05166,14.0,0.18,0.007307019735198539,0.01577950415326269,3.1864700000000004,0,0,0,1
2016-11-10,3.3104,0.05166,14.0,0.18,0.026226052452104964,0.03726354517409513,3.189696666666667,0,0,0,1
2016-11-11,3.4377,0.05166,14.0,0.18,0.03845456742387632,0.08627519860411677,3.1972483333333335,1,0,0,1
2016-11-12,3.44,0.05166,14.0,0.18,0.0006690519824301688,0.10769486362307819,3.204958333333333,1,0,0,1
2016-11-13,3.4423,0.05166,14.0,0.18,0.0006686046511628074,0.1153060420504188,3.2134883333333333,1,0,0,1
2016-11-14,3.4446,0.05166,14.0,0.18,0.0006681579176712749,0.1092664785436632,3.2219849999999997,1,0,0,1
2016-11-15,3.43145,0.05166,14.0,0.18,-0.003817569529118048,0.08708895766753903,3.2299333333333333,1,0,0,1
2016-11-16,3.4183,0.05166,14.0,0.18,-0.0038321992160748053,0.04818137483459394,3.237333333333333,1,0,0,1
2016-11-17,3.4052,0.05166,14.0,0.18,-0.0038323143082819033,0.014518629247877262,3.2445933333333334,0,0,0,1
2016-11-18,3.3917,0.05166,14.0,0.18,-0.00396452484435561,0.020394329860905575,3.25165,0,0,0,1
2016-11-19,3.378366666666667,0.05166,14.0,0.18,-0.003931165295672723,0.0254199373383367,3.258912222222222,0,0,0,1
2016-11-20,3.3650333333333333,0.05166,14.0,0.18,-0.003946680348491993,0.028659593765684967,3.2657700000000003,0,0,0,1
2016-11-21,3.3517,0.05166,14.0,0.18,-0.003962318352467964,0.02874821204469058,3.272496666666667,0,0,0,1
2016-11-22,3.3476,0.05166,14.0,0.18,-0.0012232598382910798,0.0268188642839477,3.2794000000000003,0,0,0,1
2016-11-23,3.3927,0.05166,14.0,0.18,0.013472338391683714,0.021988353097879037,3.2881199999999997,0,0,0,1
2016-11-24,3.3987,0.05166,14.0,0.18,0.001768502962242291,0.020648234227626176,3.297433333333333,0,0,0,1
2016-11-25,3.4279,0.05166,14.0,0.18,0.008591520287168697,0.02852524455143029,3.3076333333333334,0,0,0,1
2016-11-26,3.4184666666666668,0.05166,14.0,0.18,-0.002751927808084642,0.03190225730513963,3.3168188888888888,0,0,0,1
2016-11-27,3.4090333333333334,0.05166,14.0,0.18,-0.0027595218128986243,0.031410266073596274,3.324403333333333,0,0,0,1
2016-11-28,3.3996,0.05166,14.0,0.18,-0.0027671578453325463,0.025809513852265566,3.3316777777777777,0,0,0,1
2016-11-29,3.406,0.05166,14.0,0.18,0.0018825744205202,0.012246887089603711,3.3391699999999997,0,0,0,1
2016-11-30,3.3967,0.05166,14.0,0.18,-0.00273047563123896,0.01151336927041468,3.346356666666667,0,0,0,1
2016-12-01,3.4362,0.050788,13.75,0.3,0.011628933965319277,0.01471347149334535,3.3540533333333333,0,0,1,1
2016-12-02,3.465,0.050788,13.75,0.3,0.00838135149292829,0.024336315320636934,3.3622816666666666,0,0,0,1
